class,tweet,x,jarak
0,"b""@18fesss ga jahat tp cowo kek kamu langka bgt :')""",1.22E+18,"-6.16667,106.8,20km"
1,"b""@aerinuyo Gokil ini mah beneran yg kerja anak kpop :') tp jahat bener""",1.23E+18,"-6.16667,106.8,20km"
0,"b""@feriylnto ko jahat:')""",1.29E+18,"-6.16667,106.8,20km"
1,"b""@jilansy iyess!!! tapi ya semoga ke depannya ga ada yang komen jahat bilang bosen atau gimana deh sama takumi. 2020 dia japan's sweetheart juga kan soalnya.""",187508652,"-6.16667,106.8,20km"
1,"b""@mabokdoyoung Jahat banget asli :'(""",440578523,"-7.23333,112.73333,20km"
0,"b""@ngalonte Jahat :')""",1.30E+18,"-6.95,107.56667,20km"
1,"b""@officialkvibes Ya allah aku nangis\xf0\x9f\x98\xad apasih susahnya saling support! Ngak perlu komentar jahat sampe ke ibunya? Astagfirullah! Kedua ibujari kalian seharusnya berguna buat hal-hal positif! Ngehujat gampang bener ya ngak MIKIR perasaan orang! AKTING HANYALAH AKTING! 'Ingat kata CHANGSUB'""",9.87E+17,"3.66667,98.66667,20km"
0,"b""@rafiigemoii rafi ko jahat:')""",1.29E+18,"-6.16667,106.8,20km"
0,"b""@subtanyarl Knp aku malah sebaliknya ya\xf0\x9f\x98\xa3Susah bgt buat fast resp ke orang mau siapapun itu,kecuali emg urgent bgtttt bru aku bkln fast resp:') Jahat ngga si sifat kaya gituu?hikss\xf0\x9f\xa4\xa7""",1.18E+18,"0.53333,101.45,20km"
1,"b""@yoyicrich lah jahat:')""",1.29E+18,"-6.16667,106.8,20km"
0,"b""Dulu aku menangis sejadi jadinya tanpa berharap org yg kucinta kembali.. itu masalaluku bersama dia yg lalu..\nKini aku menangis, karena aku masih mengharapkan dia kembali tanpa kuminta.. aku terlalu jahat padanya dan aku menyesal. \nIts okay fen :')""",9.75E+17,"-6.96667,110.41667,20km"
1,"b""FPI bukan teroris, tapi saya melihat ada upaya utk menteroriskan FPI.\n\nMenurut saya, ini upaya jahat terhadap penegakkan aktivitas amar ma'ruf nahyi munkar.\n\nUpaya ini harus dilawan krn negara ini berdasarkan Ketuhanan Yang Maha Esa. \n\n#FPIHebat \nIngat Terus #6SyuhadaFPI""",1.35E+18,"-6.16667,106.8,20km"
0,"b""Gue tau lo itu jahat! dan bego nya gue, masih aja tetep sayang sama lo. :')""",798427268,"-6.16667,106.8,20km"
0,"b""Hati woiii kenapa jahat bgt si sama orangggg:')""",1.17E+18,"-6.12,106.15028,20km"
0,"b""Ikhlas ini harus dilandasi ilmu juga, agar tdk dimanfaatkan org jahat.\n\nKarena kadang rasa malas datang dlm bentuk yg tampak seperti rasa ikhlas. Padahal aslinya cuma malas memperjelas.\n\nSekali lg, ilmu qobla 'amal\n\nPadukan twit di atas dengan yg ini \xe2\xac\x87\xef\xb8\x8f\n\nhttps://t.co/XKMkGzocjo""",121579335,"-6.96667,110.41667,20km"
0,"b""kalo lu punya mimpi simpen aja dalem hati jangan pernah ceritain mimpi lu kedunia, dunia jahat kalo lu ceritain mimpi lu ke dunia dibunuh mimpi lu ama dunia. mangkanya ada kata kata 'don't tell people your dreams show them'.""",1.17E+18,"-6.16667,106.8,20km"
0,"b'""kamu terlalu baik buat aku"" giliran jahat malah bilang ""mana mau aku pcrn sm org jahat"" betina model kek gtu blum ngrsain di tampol pake palunya si thor'",1.30E+18,"-8.58333,116.11667,20km"
0,"b""Katanya tunggu announce aja kapan waktunya bisa dipertemukan lagi :'(\nJahat banget!""",9.97E+17,"-5.13333,119.43111,20km"
0,"b'""kau tau apa yg paling menyebalkan? sudah diperlakukan tidak baik seperti itu, tapi aku tidak bisa membenci mereka yang jahat ke kita, itu sangat menyebalkan"".'",1.14E+18,"-6.16667,106.8,20km"
